Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"Havambe","ABRAHAM","MIL","A","Pc",5,12,12,2544
"Havambe","CUTRONE","COM","A","Pc",4,10,9,2155
"Havambe","LUCCA","UDI","A","Pc",16,14,14,6215
"Havambe","ZAPATA D.","TOR","A","Pc",57,26,26,608
"Havambe","LEAO","MIL","A","A",100,24,25,4510
"Havambe","NOSLIN","LAZ","A","A",1,16,16,6556
"Havambe","ESPOSITO SE.","EMP","A","A",2,4,4,4463
"Bomb-er","CAPRILE","NAP","P","Por",40,2,2,4360
"Bomb-er","TURATI","MON","P","Por",1,8,8,4867
"Bomb-er","MANCINI","ROM","D","Dc",11,11,11,2296
"Bomb-er","BASTONI","INT","D","Dc",11,16,16,2120
"Bomb-er","KOSSOUNOU","ATA","D","Dc,Dd",3,10,10,5578
"Bomb-er","CABAL","JUV","D","B,Ds,E",10,6,7,6039
"Bomb-er","BIRAGHI","FIO","D","B,Ds,E",10,8,9,252
"Bomb-er","CAMBIASO","JUV","D","Ds,Dd,E",12,10,11,5520
"Bomb-er","VALERI","PAR","D","Ds,E",3,7,7,5862
"Bomb-er","SPINAZZOLA","NAP","D","E",12,13,12,1852
"Bomb-er","BELLANOVA","ATA","D","E",12,13,12,4887
"Bomb-er","CARLOS AUGUSTO","INT","D","E",2,9,8,5877
"Bomb-er","CALHANOGLU","INT","C","M,C",62,28,30,2194
"Bomb-er","ZAMBO ANGUISSA","NAP","C","M,C",19,10,11,4220
"Bomb-er","MKHITARYAN","INT","C","C",19,15,14,2529
"Bomb-er","FERGUSON","BOL","C","C,T",9,17,17,5858
"Bomb-er","FAGIOLI","JUV","C","C,T",4,10,9,4465
"Bomb-er","WEAH","JUV","C","W",4,7,6,4662
"Bomb-er","DA CUNHA","COM","C","W,T",1,12,12,5559
"Bomb-er","CONCEICAO","JUV","C","W,A",18,11,10,6884
"Bomb-er","ZANIOLO","ATA","C","T,A",21,12,11,2766
"Bomb-er","MALDINI","MON","C","T,A",10,9,8,4896
"Bomb-er","LAPADULA","CAG","A","Pc",1,9,8,1939
"Bomb-er","SCAMACCA","ATA","A","Pc",12,27,26,2137
"Bomb-er","MARTINEZ L.","INT","A","Pc",167,39,40,2764
"Bomb-er","SIMEONE","NAP","A","Pc",10,12,11,2061
"Bomb-er","CAMARDA","MIL","A","Pc",1,1,1,6519
"Bomb-er","THAUVIN","UDI","A","A",7,11,11,2369
"Bomb-er","ODGAARD","BOL","A","A",1,9,10,2765
"Taverlello","VASQUEZ D.","EMP","P","Por",1,6,6,6125
"Taverlello","RUI PATRICIO","ATA","P","Por",26,1,1,4270
"Taverlello","TERRACCIANO","FIO","P","Por",11,12,12,2815
"Taverlello","BREMER","JUV","D","Dc",27,16,16,2788
"Taverlello","LUPERTO","CAG","D","Dc",10,9,9,393
"Taverlello","BEUKEMA","BOL","D","Dc",4,7,7,6202
"Taverlello","MARI'","MON","D","Dc",3,7,7,4904
"Taverlello","IZZO","MON","D","Dc",3,6,6,226
"Taverlello","PAVARD","INT","D","Dc,Dd",9,14,15,4177
"Taverlello","DE WINTER","GEN","D","Dc,Dd",2,6,6,5739
"Taverlello","DI LORENZO","NAP","D","B,Dd,E",42,18,20,2816
"Taverlello","VOJVODA","TOR","D","B,Dd,E",1,7,8,4994
"Taverlello","DARMIAN","INT","D","B,Dd,E",14,9,10,2525
"Taverlello","ZAMPANO","VEN","D","Ds,Dd,E",1,5,6,1952
"Taverlello","MARTIN","GEN","D","Ds,E",3,5,5,2593
"Taverlello","EBUEHI","EMP","D","Dd,E",1,4,4,5480
"Taverlello","ZAPPACOSTA","ATA","D","E",4,10,9,554
"Taverlello","MARIN","CAG","C","M,C",2,6,6,4965
"Taverlello","RICCI S.","TOR","C","M,C",12,8,9,5453
"Taverlello","LOBOTKA","NAP","C","M,C",18,9,10,4287
"Taverlello","SOHM","PAR","C","C",5,6,5,5319
"Taverlello","HERNANI","PAR","C","C",3,6,4,4423
"Taverlello","PASALIC","ATA","C","C,T",22,14,14,2077
"Taverlello","ZIELINSKI","INT","C","C,T",8,10,10,152
"Taverlello","LOFTUS-CHEEK","MIL","C","C,T",32,18,18,4199
"Taverlello","PELLEGRINI LO.","ROM","C","C,T",62,21,21,530
"Taverlello","HARROUI","VER","C","W,T",4,13,13,5688
"Taverlello","MAN","PAR","C","W,A",31,21,20,5393
"Taverlello","BANDA","LEC","A","W,A",4,8,9,6001
"Taverlello","ALMQVIST","PAR","A","W,A",1,10,11,6207
"Taverlello","DOVBYK","ROM","A","Pc",80,30,30,6675
"Taverlello","DE KETELAERE","ATA","A","A",31,21,21,5995
"Taverlello","BELTRAN L.","FIO","A","A",5,10,10,6409
